"","id","nombre","tipo","administracao_direta","institucion_padre_id","sigla","codigo","activa","data_criacao_lei","data_ativacao","data_inativacao","data_edicao","natureza_juridica_id","justificativa_inativacao_id","justificativa_outros","sigla_nome","nome","nome_home","grupo_ativo","situacao"
"153",560,"Ministério das Relações Exteriores","orgao",1,NA,"MRE","263",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"MRE - Ministério das Relações Exteriores","Ministério das Relações Exteriores","MRE - Ministério das Relações Exteriores (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"154",661,"Ministério de Minas e Energia","orgao",1,NA,"MME","2852",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"MME - Ministério de Minas e Energia","Ministério de Minas e Energia","MME - Ministério de Minas e Energia (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"155",1415,"Ministério de Portos e Aeroportos","orgao",1,NA,"MPOR","308817",1,"2023-01-01","2023-02-23",NA,NA,NA,NA,NA,"MPOR - Ministério de Portos e Aeroportos","Ministério de Portos e Aeroportos","MPOR - Ministério de Portos e Aeroportos (desde 23/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"156",1407,"Ministério do Desenvolvimento Agrário e Agricultura Familiar","orgao",1,NA,"MDA","308794",1,"2023-01-01","2023-02-08",NA,NA,NA,NA,NA,"MDA - Ministério do Desenvolvimento Agrário e Agricultura Familiar","Ministério do Desenvolvimento Agrário e Agricultura Familiar","MDA - Ministério do Desenvolvimento Agrário e Agricultura Familiar (desde 08/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"157",1389,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","orgao",1,NA,"MDS","308796",1,"2023-01-01","2023-01-01",NA,NA,NA,NA,NA,"MDS - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","MDS - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome (desde 01/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"158",1399,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços","orgao",1,NA,"MDIC","308814",1,"2023-01-01","2023-01-30",NA,"2024-04-02",NA,NA,NA,"MDIC - Ministério do Desenvolvimento, Indústria, Comércio e Serviços","Ministério do Desenvolvimento, Indústria, Comércio e Serviços","MDIC - Ministério do Desenvolvimento, Indústria, Comércio e Serviços (desde 30/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"159",1429,"Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte","orgao",1,NA,"MEMP","330683",1,"2023-09-13","2023-11-16",NA,NA,NA,NA,NA,"MEMP - Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte","Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte","MEMP - Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte (desde 16/11/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"160",1403,"Ministério do Esporte","orgao",1,NA,"MESP","308797",1,"2023-01-01","2023-02-06",NA,NA,NA,NA,NA,"MESP - Ministério do Esporte","Ministério do Esporte","MESP - Ministério do Esporte (desde 06/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"161",647,"Ministério do Meio Ambiente","orgao",1,NA,"MMA","1927",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"MMA - Ministério do Meio Ambiente","Ministério do Meio Ambiente","MMA - Ministério do Meio Ambiente (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"162",1401,"Ministério do Planejamento e Orçamento","orgao",1,NA,"MPO","308804",1,"2023-01-01","2023-02-02",NA,NA,NA,NA,NA,"MPO - Ministério do Planejamento e Orçamento","Ministério do Planejamento e Orçamento","MPO - Ministério do Planejamento e Orçamento (desde 02/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
